cycle,temp_stage1_c,temp_stage2_c,temp_stage3_c,pressure_kpa,vibration_index,flow_rate,efficiency_ratio,bleed_load,true_rul_cycles,asset_id
83,641.73,1585.25,1399.05,554.53,47.35,521.85,8.3942,23.4432,125,AST-TRAIN-017
84,642.83,1582.09,1397.57,554.44,47.33,522.42,8.4064,23.4181,125,AST-TRAIN-017
85,642.04,1581.68,1402.77,554.05,47.2,522.37,8.4122,23.3981,125,AST-TRAIN-017
86,642.23,1577.94,1400.35,554.04,47.34,522.14,8.3954,23.4391,125,AST-TRAIN-017
87,642.22,1589.28,1395.99,554.69,47.14,522.3,8.4027,23.4516,125,AST-TRAIN-017
88,642.56,1588.99,1398.02,554.51,47.27,522.18,8.4235,23.5028,125,AST-TRAIN-017
89,641.9,1583.74,1408.61,553.24,47.24,521.69,8.3915,23.4192,125,AST-TRAIN-017
90,642.5,1588.75,1397.48,554.91,47.43,522.08,8.3672,23.4356,125,AST-TRAIN-017
91,642.96,1585.37,1402.28,554.18,47.31,522.44,8.3709,23.2512,125,AST-TRAIN-017
92,642.25,1583.37,1401.28,554.22,47.32,521.94,8.3949,23.4493,125,AST-TRAIN-017
93,641.97,1586.86,1406.35,554.17,47.11,522.14,8.4124,23.4439,125,AST-TRAIN-017
94,642.37,1593.89,1400.73,554.15,47.31,521.81,8.4021,23.2841,125,AST-TRAIN-017
95,642.49,1592.66,1398.86,554.97,47.29,522.65,8.3993,23.4424,125,AST-TRAIN-017
96,642.9,1581.1,1400.12,554.69,47.4,522.15,8.4328,23.4321,125,AST-TRAIN-017
97,642.15,1586.44,1399.53,554.73,47.24,522.22,8.3978,23.4664,125,AST-TRAIN-017
98,642.46,1582.67,1402.17,553.94,47.23,522.22,8.4133,23.3428,125,AST-TRAIN-017
99,642.23,1584.16,1401.3,554.82,47.23,522.29,8.3843,23.3972,125,AST-TRAIN-017
100,642.31,1581.27,1396.71,554.04,47.35,522.32,8.4034,23.3664,125,AST-TRAIN-017
101,641.89,1587.61,1406.0,554.42,47.18,522.29,8.4207,23.3533,125,AST-TRAIN-017
102,642.33,1588.31,1400.65,555.12,47.17,522.07,8.3835,23.4404,125,AST-TRAIN-017
103,642.41,1579.63,1398.34,554.49,47.14,521.84,8.4024,23.4679,125,AST-TRAIN-017
104,642.04,1588.67,1404.87,554.89,47.33,522.56,8.388,23.3754,125,AST-TRAIN-017
105,641.93,1583.07,1396.6,554.59,47.34,522.44,8.4383,23.3343,125,AST-TRAIN-017
106,642.25,1593.42,1401.6,553.81,47.45,522.34,8.4079,23.4032,125,AST-TRAIN-017
107,642.71,1585.66,1401.31,554.14,47.24,522.04,8.422,23.2836,125,AST-TRAIN-017
108,642.24,1583.9,1393.71,554.27,47.29,522.11,8.4157,23.3878,125,AST-TRAIN-017
109,642.14,1591.46,1404.94,554.8,47.17,522.45,8.4136,23.4821,125,AST-TRAIN-017
110,642.38,1585.52,1402.47,554.42,47.38,522.0,8.4198,23.3504,125,AST-TRAIN-017
111,642.16,1586.32,1398.1,554.04,47.12,522.45,8.4134,23.4853,125,AST-TRAIN-017
112,642.66,1588.81,1401.7,553.83,47.34,522.25,8.4002,23.2484,125,AST-TRAIN-017
113,642.88,1590.27,1397.51,554.45,47.44,522.39,8.3965,23.4601,125,AST-TRAIN-017
114,642.23,1584.92,1401.17,554.35,47.33,522.57,8.4073,23.4688,125,AST-TRAIN-017
115,642.37,1578.31,1399.02,554.06,47.45,521.95,8.3886,23.4274,125,AST-TRAIN-017
116,642.08,1590.34,1398.49,553.97,47.14,522.15,8.4296,23.4046,125,AST-TRAIN-017
117,642.27,1582.66,1399.59,554.3,47.19,522.2,8.3824,23.3763,125,AST-TRAIN-017
118,641.56,1584.12,1412.29,554.16,47.51,522.34,8.4501,23.3966,125,AST-TRAIN-017
119,642.4,1583.74,1394.35,553.57,47.17,522.14,8.4079,23.3375,125,AST-TRAIN-017
120,642.22,1583.24,1398.24,554.07,47.42,522.41,8.4152,23.3318,125,AST-TRAIN-017
121,641.63,1590.48,1403.91,554.53,47.5,521.78,8.436,23.3183,125,AST-TRAIN-017
122,642.21,1589.17,1403.5,554.8,47.33,521.38,8.3913,23.3101,125,AST-TRAIN-017
123,642.36,1593.47,1404.06,553.9,47.26,522.59,8.4782,23.2781,125,AST-TRAIN-017
124,642.95,1591.07,1398.38,554.51,47.17,521.94,8.4248,23.3044,125,AST-TRAIN-017
125,641.78,1587.36,1401.62,554.73,47.37,522.09,8.3653,23.3872,125,AST-TRAIN-017
126,642.46,1586.97,1410.91,554.5,47.27,522.13,8.4011,23.36,125,AST-TRAIN-017
127,642.23,1587.57,1405.74,553.96,47.45,521.9,8.408,23.4545,125,AST-TRAIN-017
128,642.33,1586.88,1403.27,553.71,47.29,521.8,8.4258,23.387,125,AST-TRAIN-017
129,641.78,1590.87,1395.24,554.01,47.32,521.83,8.4173,23.2828,125,AST-TRAIN-017
130,642.61,1590.93,1403.14,553.76,47.36,522.38,8.4394,23.2974,125,AST-TRAIN-017
131,641.92,1587.58,1406.9,553.82,47.37,522.15,8.4025,23.3725,125,AST-TRAIN-017
132,642.88,1584.73,1405.16,554.52,47.26,522.17,8.4163,23.4027,125,AST-TRAIN-017
133,642.54,1582.3,1395.69,554.78,47.37,521.94,8.4315,23.4232,125,AST-TRAIN-017
134,642.85,1582.79,1401.67,554.2,47.26,522.12,8.3966,23.448,125,AST-TRAIN-017
135,642.39,1581.13,1399.83,553.99,47.46,522.37,8.4142,23.443,125,AST-TRAIN-017
136,642.6,1594.1,1399.88,554.39,47.25,522.22,8.4095,23.3383,125,AST-TRAIN-017
137,642.6,1585.5,1403.29,553.53,47.2,522.16,8.4436,23.3797,125,AST-TRAIN-017
138,642.62,1585.66,1404.48,554.33,47.2,522.15,8.3738,23.4277,125,AST-TRAIN-017
139,642.54,1594.99,1394.7,554.99,47.43,522.15,8.412,23.3232,125,AST-TRAIN-017
140,642.12,1593.98,1398.0,553.43,47.4,522.44,8.4541,23.3649,125,AST-TRAIN-017
141,642.22,1586.76,1402.17,554.14,47.4,521.9,8.4158,23.439,125,AST-TRAIN-017
142,642.46,1590.23,1394.96,553.32,47.25,521.62,8.4069,23.2935,125,AST-TRAIN-017
143,642.54,1586.74,1403.49,553.21,47.3,522.49,8.4402,23.2889,125,AST-TRAIN-017
144,641.94,1583.07,1407.06,553.85,47.32,521.82,8.3894,23.3687,125,AST-TRAIN-017
145,642.3,1584.65,1397.85,554.06,47.35,522.19,8.4253,23.2876,125,AST-TRAIN-017
146,642.42,1583.59,1405.31,553.95,47.25,521.64,8.3745,23.4263,125,AST-TRAIN-017
147,641.61,1590.75,1405.51,554.51,47.38,521.64,8.4308,23.4109,125,AST-TRAIN-017
148,642.86,1588.66,1404.35,554.11,47.41,521.84,8.4223,23.3243,125,AST-TRAIN-017
149,642.68,1586.63,1399.87,553.2,47.46,521.84,8.4206,23.3674,125,AST-TRAIN-017
150,641.98,1588.37,1400.46,553.62,47.3,522.08,8.4148,23.3882,125,AST-TRAIN-017
151,642.49,1585.53,1401.98,554.6,47.28,522.41,8.3896,23.3245,125,AST-TRAIN-017
152,642.04,1593.13,1403.46,554.36,47.24,522.06,8.4213,23.3333,124,AST-TRAIN-017
153,642.96,1586.26,1395.23,554.25,47.37,521.44,8.4397,23.3772,123,AST-TRAIN-017
154,643.0,1580.31,1403.02,554.11,47.39,521.96,8.4325,23.2863,122,AST-TRAIN-017
155,642.25,1580.98,1398.62,554.07,47.32,521.85,8.4217,23.3772,121,AST-TRAIN-017
156,642.53,1585.24,1395.35,553.74,47.39,521.64,8.4294,23.4702,120,AST-TRAIN-017
157,642.93,1587.96,1402.5,553.89,47.41,522.15,8.4198,23.2474,119,AST-TRAIN-017
158,642.34,1586.11,1408.6,554.0,47.39,521.94,8.4323,23.3525,118,AST-TRAIN-017
159,642.72,1586.39,1393.73,553.71,47.42,521.75,8.4038,23.4214,117,AST-TRAIN-017
160,642.58,1589.31,1394.92,553.53,47.32,521.88,8.4545,23.3392,116,AST-TRAIN-017
161,642.7,1595.22,1401.72,554.39,47.41,521.56,8.4288,23.2923,115,AST-TRAIN-017
162,641.97,1587.8,1403.67,553.61,47.29,521.98,8.3727,23.2856,114,AST-TRAIN-017
163,642.07,1593.86,1406.47,554.58,47.61,522.21,8.3846,23.2523,113,AST-TRAIN-017
164,642.22,1583.89,1412.84,553.92,47.08,522.64,8.3935,23.3198,112,AST-TRAIN-017
165,642.2,1589.27,1400.95,554.09,47.28,522.01,8.4005,23.3098,111,AST-TRAIN-017
166,642.56,1580.45,1395.52,554.03,47.35,522.05,8.4073,23.292,110,AST-TRAIN-017
167,642.36,1582.58,1402.52,553.89,47.2,521.72,8.4203,23.2854,109,AST-TRAIN-017
168,641.98,1591.18,1395.11,553.45,47.32,522.13,8.4095,23.3429,108,AST-TRAIN-017
169,642.67,1584.04,1410.3,553.68,47.33,522.22,8.4124,23.3404,107,AST-TRAIN-017
170,642.84,1593.08,1397.9,554.39,47.49,522.31,8.4557,23.4283,106,AST-TRAIN-017
171,642.58,1586.53,1403.43,554.59,47.39,522.04,8.4302,23.3404,105,AST-TRAIN-017
172,642.72,1593.31,1402.83,554.25,47.38,521.9,8.4294,23.4612,104,AST-TRAIN-017
173,642.84,1584.9,1407.84,554.3,47.24,521.67,8.4067,23.4445,103,AST-TRAIN-017
174,643.04,1585.99,1397.64,552.86,47.45,522.1,8.3911,23.2987,102,AST-TRAIN-017
175,642.45,1594.12,1404.96,553.72,47.45,521.85,8.4079,23.3794,101,AST-TRAIN-017
176,642.18,1586.34,1399.89,554.48,47.46,521.7,8.4111,23.2551,100,AST-TRAIN-017
177,642.36,1585.89,1407.83,553.99,47.51,521.76,8.416,23.3162,99,AST-TRAIN-017
178,642.62,1587.15,1403.37,553.89,47.38,522.07,8.434,23.2983,98,AST-TRAIN-017
179,642.97,1589.44,1401.41,553.71,47.41,521.51,8.3721,23.3575,97,AST-TRAIN-017
180,642.11,1586.0,1412.6,553.84,47.43,521.72,8.4301,23.3311,96,AST-TRAIN-017
181,642.46,1583.92,1409.66,554.03,47.35,521.68,8.3988,23.3106,95,AST-TRAIN-017
182,642.63,1588.34,1408.71,554.0,47.56,522.32,8.4153,23.3561,94,AST-TRAIN-017
183,643.0,1598.21,1405.2,553.8,47.37,521.77,8.417,23.321,93,AST-TRAIN-017
184,642.61,1590.64,1401.65,553.35,47.29,521.69,8.4398,23.3142,92,AST-TRAIN-017
185,642.56,1590.84,1402.19,553.53,47.3,521.87,8.4302,23.3731,91,AST-TRAIN-017
186,642.6,1584.49,1397.07,553.77,47.55,522.21,8.4466,23.3551,90,AST-TRAIN-017
187,642.83,1598.42,1406.55,554.23,47.49,521.79,8.3888,23.264,89,AST-TRAIN-017
188,642.57,1588.56,1406.95,553.33,47.37,521.78,8.4254,23.3991,88,AST-TRAIN-017
189,642.43,1585.39,1401.76,553.54,47.42,522.02,8.4385,23.2303,87,AST-TRAIN-017
190,642.25,1596.9,1410.8,553.86,47.27,521.62,8.4298,23.2449,86,AST-TRAIN-017
191,642.63,1591.59,1400.26,554.13,47.61,521.17,8.4122,23.3415,85,AST-TRAIN-017
192,642.55,1586.71,1409.87,554.54,47.53,521.53,8.4493,23.343,84,AST-TRAIN-017
193,642.46,1596.63,1408.77,553.64,47.4,521.76,8.4148,23.3076,83,AST-TRAIN-017
194,643.07,1587.51,1410.3,552.51,47.64,521.8,8.4261,23.2493,82,AST-TRAIN-017
195,642.85,1584.21,1405.3,554.27,47.36,521.97,8.4251,23.3354,81,AST-TRAIN-017
196,642.98,1588.67,1404.79,553.42,47.53,522.16,8.4634,23.3255,80,AST-TRAIN-017
197,642.46,1589.8,1411.75,553.48,47.4,521.85,8.4321,23.3218,79,AST-TRAIN-017
198,642.35,1587.84,1407.94,554.07,47.61,521.77,8.4606,23.3737,78,AST-TRAIN-017
199,642.05,1584.36,1404.1,553.94,47.46,521.47,8.4463,23.3126,77,AST-TRAIN-017
200,642.49,1583.5,1402.29,553.8,47.31,521.7,8.4183,23.3859,76,AST-TRAIN-017
201,642.54,1598.26,1406.68,553.68,47.62,521.21,8.4463,23.359,75,AST-TRAIN-017
202,642.11,1587.1,1404.18,553.14,47.29,521.24,8.4543,23.287,74,AST-TRAIN-017
203,642.86,1583.16,1408.23,552.97,47.59,521.23,8.4249,23.2474,73,AST-TRAIN-017
204,642.87,1589.72,1406.92,553.47,47.57,521.49,8.4462,23.2776,72,AST-TRAIN-017
205,642.53,1591.21,1408.9,554.09,47.62,521.87,8.404,23.1035,71,AST-TRAIN-017
206,642.75,1584.7,1400.9,553.84,47.59,522.13,8.4346,23.2152,70,AST-TRAIN-017
207,642.67,1586.55,1409.62,553.24,47.5,521.67,8.4357,23.327,69,AST-TRAIN-017
208,642.2,1589.75,1408.41,553.85,47.54,521.25,8.4291,23.3964,68,AST-TRAIN-017
209,642.85,1586.79,1399.69,553.35,47.41,521.12,8.4429,23.2707,67,AST-TRAIN-017
210,642.58,1597.16,1406.89,553.39,47.43,521.9,8.4259,23.3856,66,AST-TRAIN-017
211,642.52,1589.79,1412.93,554.08,47.39,521.32,8.438,23.338,65,AST-TRAIN-017
212,642.56,1589.47,1413.36,553.56,47.6,521.11,8.4334,23.306,64,AST-TRAIN-017
213,642.47,1587.09,1407.88,553.07,47.34,521.79,8.4359,23.3755,63,AST-TRAIN-017
214,643.01,1595.01,1414.55,553.74,47.51,521.34,8.4108,23.1943,62,AST-TRAIN-017
215,642.74,1590.37,1410.19,553.33,47.41,521.55,8.4348,23.1593,61,AST-TRAIN-017
216,642.73,1592.56,1417.78,552.61,47.37,521.14,8.4621,23.1804,60,AST-TRAIN-017
217,642.81,1591.34,1409.4,553.14,47.49,521.12,8.4657,23.2216,59,AST-TRAIN-017
218,642.69,1593.94,1409.23,553.28,47.56,521.72,8.452,23.2116,58,AST-TRAIN-017
219,642.67,1588.2,1409.23,553.24,47.36,521.73,8.4623,23.2798,57,AST-TRAIN-017
220,642.43,1593.96,1410.74,553.1,47.39,521.32,8.4338,23.2437,56,AST-TRAIN-017
221,642.68,1589.89,1406.92,553.29,47.69,521.19,8.4421,23.3312,55,AST-TRAIN-017
222,643.3,1600.94,1406.96,553.75,47.67,521.29,8.4565,23.1434,54,AST-TRAIN-017
223,642.79,1585.32,1409.63,553.95,47.42,521.24,8.4683,23.3197,53,AST-TRAIN-017
224,643.04,1594.78,1410.57,553.04,47.58,521.56,8.4641,23.1333,52,AST-TRAIN-017
225,643.68,1594.64,1409.17,552.61,47.58,521.44,8.454,23.178,51,AST-TRAIN-017
226,643.19,1587.67,1413.49,553.03,47.64,520.9,8.4153,23.2297,50,AST-TRAIN-017
227,642.66,1591.11,1410.2,553.52,47.64,520.98,8.4643,23.312,49,AST-TRAIN-017
228,643.11,1588.27,1411.02,553.32,47.49,521.41,8.4544,23.2811,48,AST-TRAIN-017
229,642.91,1591.13,1413.03,553.83,47.57,521.04,8.4469,23.2396,47,AST-TRAIN-017
230,643.1,1590.1,1411.74,553.68,47.53,520.89,8.4554,23.1847,46,AST-TRAIN-017
231,642.78,1597.89,1418.15,552.86,47.61,520.97,8.4632,23.234,45,AST-TRAIN-017
232,643.1,1591.59,1415.25,552.91,47.49,521.06,8.4124,23.1387,44,AST-TRAIN-017
233,643.03,1595.48,1409.53,552.87,47.65,521.09,8.4475,23.1826,43,AST-TRAIN-017
234,642.82,1590.95,1417.87,552.88,47.45,521.15,8.4235,23.1886,42,AST-TRAIN-017
235,643.22,1595.63,1407.83,552.42,47.66,521.34,8.4754,23.2613,41,AST-TRAIN-017
236,642.95,1600.4,1417.09,553.32,47.76,520.7,8.4505,23.1692,40,AST-TRAIN-017
237,642.46,1592.09,1408.25,552.89,47.61,521.0,8.4465,23.2524,39,AST-TRAIN-017
238,643.0,1593.94,1418.85,553.18,47.67,521.37,8.4623,23.1945,38,AST-TRAIN-017
239,642.56,1600.14,1422.99,552.88,47.75,521.23,8.4775,23.256,37,AST-TRAIN-017
240,643.17,1597.82,1418.71,553.42,47.67,520.91,8.4616,23.2331,36,AST-TRAIN-017
241,642.96,1595.09,1415.02,553.21,47.65,521.59,8.4388,23.1517,35,AST-TRAIN-017
242,643.41,1596.72,1419.3,552.89,47.66,521.08,8.4488,23.2495,34,AST-TRAIN-017
243,643.47,1595.79,1414.03,553.1,47.74,520.96,8.459,23.1161,33,AST-TRAIN-017
244,643.05,1595.27,1422.37,552.84,47.65,521.24,8.4635,23.2356,32,AST-TRAIN-017
245,643.37,1595.23,1411.52,553.29,47.9,521.01,8.4702,23.1402,31,AST-TRAIN-017
246,642.62,1597.58,1419.6,552.84,47.66,520.75,8.4397,23.2464,30,AST-TRAIN-017
247,643.13,1597.55,1416.46,553.0,47.73,521.03,8.4916,23.17,29,AST-TRAIN-017
248,642.72,1601.33,1412.8,553.08,47.82,520.56,8.4594,23.1999,28,AST-TRAIN-017
249,643.05,1586.19,1421.61,552.98,47.96,521.15,8.4987,23.1289,27,AST-TRAIN-017
250,643.21,1595.47,1415.21,552.59,47.69,520.53,8.4429,23.1109,26,AST-TRAIN-017
251,643.13,1592.38,1415.08,551.48,47.9,521.21,8.4902,23.1594,25,AST-TRAIN-017
252,642.91,1594.24,1414.83,552.46,47.71,520.57,8.4695,23.1611,24,AST-TRAIN-017
253,643.22,1595.99,1418.95,552.99,47.79,520.9,8.4669,23.1701,23,AST-TRAIN-017
254,643.01,1596.56,1421.67,552.55,47.78,520.68,8.4561,23.1806,22,AST-TRAIN-017
255,643.06,1593.97,1421.43,552.41,47.9,520.42,8.4853,23.1941,21,AST-TRAIN-017
256,643.2,1605.95,1421.93,553.17,47.88,520.53,8.5161,23.1985,20,AST-TRAIN-017
257,644.09,1594.72,1419.53,552.62,47.85,520.7,8.4991,23.1453,19,AST-TRAIN-017
258,643.68,1602.79,1415.0,552.67,48.03,520.97,8.4594,23.1426,18,AST-TRAIN-017
259,643.27,1595.62,1428.3,552.52,47.95,520.84,8.4921,23.125,17,AST-TRAIN-017
260,643.17,1599.31,1428.94,552.38,47.89,520.63,8.5113,23.0846,16,AST-TRAIN-017
261,643.87,1596.92,1421.2,552.01,47.87,520.61,8.4809,22.9783,15,AST-TRAIN-017
262,643.28,1597.94,1418.06,552.13,47.95,519.98,8.4567,23.0853,14,AST-TRAIN-017
263,643.65,1601.45,1416.22,551.81,48.16,520.57,8.4526,23.0641,13,AST-TRAIN-017
264,643.62,1599.98,1427.41,552.61,47.89,520.74,8.4746,23.1302,12,AST-TRAIN-017
265,643.64,1593.34,1429.2,552.59,47.88,520.83,8.4977,23.1248,11,AST-TRAIN-017
266,643.81,1601.24,1427.81,551.47,47.98,520.13,8.4876,23.0748,10,AST-TRAIN-017
267,643.51,1608.86,1421.63,551.75,47.93,520.84,8.5067,23.1876,9,AST-TRAIN-017
268,643.17,1603.62,1430.58,550.88,47.91,520.16,8.54,23.091,8,AST-TRAIN-017
269,643.73,1602.28,1430.87,552.2,48.14,520.54,8.4907,23.0103,7,AST-TRAIN-017
270,643.33,1602.5,1424.06,552.19,47.93,520.24,8.5155,23.1338,6,AST-TRAIN-017
271,643.55,1608.55,1433.02,552.18,48.09,520.52,8.4998,23.0751,5,AST-TRAIN-017
272,643.13,1605.43,1422.78,552.13,48.2,520.08,8.5318,23.0667,4,AST-TRAIN-017
273,643.71,1602.12,1422.72,552.04,48.23,520.09,8.5549,23.1137,3,AST-TRAIN-017
274,643.58,1599.44,1420.47,551.96,48.09,519.77,8.5197,23.0759,2,AST-TRAIN-017
275,644.0,1601.52,1430.48,551.4,47.97,519.26,8.5472,23.0818,1,AST-TRAIN-017
276,643.97,1599.82,1432.46,551.51,48.06,520.22,8.5171,23.0517,0,AST-TRAIN-017
1,642.49,1582.95,1401.6,554.59,47.19,521.41,8.3861,23.4234,125,AST-TRAIN-018
2,642.21,1589.39,1397.98,554.17,47.29,522.5,8.3788,23.5772,125,AST-TRAIN-018
3,642.4,1590.51,1399.79,554.8,47.3,521.75,8.4153,23.445,125,AST-TRAIN-018
4,642.28,1577.34,1393.92,553.56,47.29,521.63,8.3789,23.352,125,AST-TRAIN-018
5,641.48,1585.59,1398.89,554.49,47.22,522.25,8.3908,23.3086,125,AST-TRAIN-018
6,641.86,1579.69,1403.8,554.48,47.31,522.63,8.4012,23.3929,125,AST-TRAIN-018
7,641.58,1584.09,1389.32,554.23,47.14,522.27,8.4312,23.5667,125,AST-TRAIN-018
8,642.2,1580.01,1396.59,554.63,47.26,522.65,8.3996,23.4563,125,AST-TRAIN-018
9,641.96,1588.77,1401.73,554.35,47.19,522.31,8.4192,23.4342,125,AST-TRAIN-018
10,642.23,1584.24,1399.28,554.08,47.29,521.92,8.3727,23.426,125,AST-TRAIN-018
11,642.42,1579.74,1401.23,554.04,47.37,522.23,8.415,23.3028,125,AST-TRAIN-018
12,642.28,1583.42,1397.06,553.72,47.21,522.25,8.3509,23.4172,125,AST-TRAIN-018
13,642.49,1590.54,1399.01,554.54,47.15,522.16,8.3868,23.3905,125,AST-TRAIN-018
14,641.74,1582.73,1395.77,554.42,47.24,522.19,8.4477,23.4389,125,AST-TRAIN-018
15,642.25,1579.36,1393.54,554.83,47.18,521.83,8.3826,23.4616,125,AST-TRAIN-018
16,641.9,1581.77,1402.19,554.45,47.38,522.01,8.4036,23.3818,125,AST-TRAIN-018
17,641.87,1578.41,1405.99,554.0,47.3,522.51,8.3841,23.4297,125,AST-TRAIN-018
18,642.14,1583.75,1397.2,554.01,47.26,522.31,8.3987,23.3747,125,AST-TRAIN-018
19,641.89,1579.43,1394.13,555.27,47.3,522.19,8.4198,23.3372,125,AST-TRAIN-018
20,642.12,1587.86,1400.58,554.46,47.2,521.79,8.4425,23.2882,125,AST-TRAIN-018
21,642.08,1580.09,1400.02,554.87,47.17,522.17,8.3911,23.437,125,AST-TRAIN-018
22,641.98,1586.02,1398.5,554.14,47.25,522.53,8.3932,23.3562,125,AST-TRAIN-018
23,642.73,1583.22,1405.06,554.78,47.2,522.26,8.4113,23.4336,125,AST-TRAIN-018
24,642.08,1580.53,1397.51,554.78,47.28,522.47,8.3805,23.4425,125,AST-TRAIN-018
25,642.23,1589.57,1398.44,554.62,47.16,522.5,8.3688,23.3008,125,AST-TRAIN-018
26,642.57,1585.89,1394.98,555.0,47.23,522.54,8.3995,23.4793,125,AST-TRAIN-018
27,642.25,1594.33,1400.33,554.76,47.13,521.93,8.3913,23.3715,125,AST-TRAIN-018
28,642.16,1580.08,1399.53,554.54,47.21,522.04,8.3794,23.4025,125,AST-TRAIN-018
29,642.41,1585.02,1394.96,554.63,47.16,522.43,8.3925,23.3274,125,AST-TRAIN-018
30,642.0,1588.57,1395.56,554.9,47.2,522.37,8.3905,23.3546,125,AST-TRAIN-018
31,642.1,1592.26,1404.1,554.16,47.17,522.32,8.4052,23.4109,125,AST-TRAIN-018
32,641.98,1580.23,1394.26,554.44,47.18,522.64,8.409,23.4597,125,AST-TRAIN-018
33,642.31,1580.6,1401.18,554.88,47.3,522.68,8.3906,23.3475,125,AST-TRAIN-018
34,642.33,1583.0,1399.97,554.43,47.05,521.79,8.3703,23.3317,125,AST-TRAIN-018
35,642.47,1584.89,1394.36,554.48,47.18,522.44,8.4074,23.398,125,AST-TRAIN-018
36,642.06,1590.71,1399.61,553.99,47.23,522.56,8.4054,23.2457,125,AST-TRAIN-018
37,642.28,1587.03,1392.82,554.76,47.29,522.06,8.4062,23.486,125,AST-TRAIN-018
38,642.4,1584.49,1407.5,554.47,47.17,522.46,8.3683,23.4201,125,AST-TRAIN-018
39,642.73,1586.56,1404.8,554.24,47.36,521.72,8.401,23.4609,125,AST-TRAIN-018
40,642.39,1586.54,1402.17,554.34,47.24,522.56,8.4039,23.5294,125,AST-TRAIN-018
41,642.56,1582.41,1403.69,553.68,47.36,522.55,8.3846,23.3992,125,AST-TRAIN-018
42,642.02,1580.17,1391.59,554.32,47.29,522.36,8.3874,23.4594,125,AST-TRAIN-018
43,641.34,1584.5,1396.26,553.72,47.02,522.43,8.4054,23.3709,125,AST-TRAIN-018
44,642.36,1589.34,1399.81,554.45,47.32,523.2,8.4213,23.3803,125,AST-TRAIN-018
45,642.12,1581.15,1397.54,554.12,47.26,522.77,8.4157,23.3931,125,AST-TRAIN-018
46,642.28,1582.73,1404.38,554.6,47.38,522.16,8.4102,23.4673,125,AST-TRAIN-018
47,642.38,1586.87,1395.33,553.6,47.32,522.54,8.4264,23.486,125,AST-TRAIN-018
48,642.44,1587.51,1406.53,554.48,47.08,522.56,8.3754,23.3508,125,AST-TRAIN-018
49,642.13,1582.46,1406.51,554.26,47.09,522.01,8.42,23.4727,125,AST-TRAIN-018
50,642.01,1586.29,1389.54,554.24,47.15,522.14,8.3921,23.4438,125,AST-TRAIN-018
51,642.62,1579.97,1394.35,554.7,47.21,522.25,8.4246,23.4403,125,AST-TRAIN-018
52,641.76,1585.96,1395.27,554.05,47.22,522.25,8.4201,23.4214,125,AST-TRAIN-018
53,642.21,1584.77,1397.47,553.82,47.36,522.72,8.4039,23.4062,125,AST-TRAIN-018
54,642.22,1585.77,1395.13,554.6,47.29,521.85,8.3783,23.4104,125,AST-TRAIN-018
55,642.29,1576.47,1397.52,554.18,47.23,522.28,8.387,23.3158,125,AST-TRAIN-018
56,642.01,1581.79,1400.68,554.38,47.15,522.05,8.36,23.3274,125,AST-TRAIN-018
57,642.32,1583.13,1402.57,554.41,47.33,522.37,8.3994,23.3882,125,AST-TRAIN-018
58,641.86,1584.65,1398.06,553.89,47.28,522.52,8.4098,23.3903,125,AST-TRAIN-018
59,641.95,1583.05,1399.84,554.36,47.32,522.41,8.442,23.4238,125,AST-TRAIN-018
60,642.7,1584.03,1394.72,554.7,47.25,522.28,8.4094,23.348,125,AST-TRAIN-018
61,641.99,1592.63,1403.36,554.64,47.32,522.03,8.4013,23.3724,125,AST-TRAIN-018
62,642.52,1584.72,1396.77,554.17,47.14,521.77,8.3968,23.3002,125,AST-TRAIN-018
63,641.91,1581.59,1397.66,553.58,47.34,522.27,8.3693,23.516,125,AST-TRAIN-018
64,642.2,1588.24,1406.35,554.35,47.19,522.04,8.3938,23.3359,125,AST-TRAIN-018
65,641.92,1592.11,1400.88,554.17,47.21,522.08,8.3843,23.4608,125,AST-TRAIN-018
66,641.96,1586.68,1399.45,554.28,47.25,522.12,8.4302,23.3676,125,AST-TRAIN-018
67,642.16,1588.45,1401.89,553.96,47.12,521.9,8.4307,23.3735,125,AST-TRAIN-018
68,642.05,1589.56,1400.97,554.17,47.37,522.23,8.4359,23.4621,125,AST-TRAIN-018
69,641.91,1581.06,1400.12,554.35,47.12,522.38,8.4231,23.4357,125,AST-TRAIN-018
70,641.9,1588.15,1403.54,554.31,47.07,521.73,8.3974,23.3067,125,AST-TRAIN-018
71,642.1,1584.7,1400.82,553.87,47.16,522.34,8.3866,23.3137,124,AST-TRAIN-018
72,642.24,1584.34,1391.78,554.78,47.15,522.43,8.4192,23.4116,123,AST-TRAIN-018
73,641.97,1577.0,1391.66,554.74,47.35,521.82,8.3926,23.4302,122,AST-TRAIN-018
74,642.1,1584.06,1395.07,554.56,47.24,522.17,8.3808,23.3216,121,AST-TRAIN-018
75,642.43,1576.32,1398.36,553.26,47.25,522.26,8.3971,23.3983,120,AST-TRAIN-018
76,641.89,1586.03,1397.41,554.11,47.29,521.88,8.363,23.2577,119,AST-TRAIN-018
77,642.5,1583.75,1393.92,554.86,47.19,522.18,8.3599,23.3231,118,AST-TRAIN-018
78,642.12,1584.6,1400.5,553.98,47.23,522.25,8.3759,23.3331,117,AST-TRAIN-018
79,642.17,1579.53,1399.94,554.66,47.36,522.02,8.3849,23.3346,116,AST-TRAIN-018
